Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Age population, age 17, female, interpolated",SP.POP.AG17.FE.IN,Lao PDR,LAO,20931,21646,22434.5,23248,23989,24399,24227.5,25223.5,26690.5,27211,27801.5,28359,28939.5,29585.5,30186,30746,31299.5,31833.5,32454.5,33194,34039,34985,36020.5,37104,38223.5,39365.5,40527,41775.5,42993,44163.5,45395,46696.5,47947,49040,50005,50916,51940,53080,54372,55959.5,57740.5,59533.5,61427.5,63501,65443,67084.5,68396,69869,71169,71629,71614,71184.5,70913.5,70940,70816.5,71204,72118,72787.5,72604,71379,70321.5,70241.5,71024
"Age population, age 17, male, interpolated",SP.POP.AG17.MA.IN,Lao PDR,LAO,20144,20722.5,21386.5,22082,22711,23233.5,22854,24523,27039,27575,28193.5,28783,29388,30055.5,30706.5,31333.5,31948.5,32541.5,33211,33996,34886.5,35872.5,36952.5,38084.5,39244,40430,41644,42944.5,44212,45431.5,46708,48061,49360,50500.5,51520.5,52480,53561,54630,55699.5,57053,58649.5,60338.5,62068,63964.5,66075,68450.5,70752.5,72824.5,74277,74650,74373.5,73625,72952.5,72645.5,72692.5,73768.5,75254.5,75569.5,74722,73489,72833.5,72976.5,73650
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Lao PDR,LAO,20175,20803,21516.5,22302,23111.5,23851,24260,24089.5,25082.5,26543,27061.5,27651.5,28207,28779,29380,29887,30334,30793,31288.5,31934.5,32744.5,33678,34703.5,35788,36895.5,38034,39193,40365,41617,42827.5,43978,45181.5,46453.5,47676.5,48738,49669.5,50550.5,51464.5,52512.5,53825.5,55443,57244.5,59030,60931,63053.5,64961,66520.5,67796.5,69159,70333,70765.5,70766,70413.5,70266.5,70417,70457.5,70959.5,71894.5,72571,72392.5,71177,70123.5,70043.5
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,Lao PDR,LAO,19538,20017.5,20602,21257.5,21935,22561.5,23082,22707,24368,26869.5,27404.5,28022,28611,29209.5,29852.5,30434.5,30955,31481.5,32037.5,32729.5,33585,34560,35618.5,36743,37896.5,39072.5,40271.5,41492.5,42793,44049.5,45247.5,46499,47825,49096.5,50207,51195.5,52125.5,52973.5,53818,54892,56268,57892,59591,61327,63262,65508,67941,70103.5,71947,73196.5,73495.5,73233,72620.5,72145,71994,72259,73494.5,74999,75323.5,74481,73262,72616,72755
"Age population, age 19, female, interpolated",SP.POP.AG19.FE.IN,Lao PDR,LAO,19499.5,20045,20672,21382,22163.5,22970.5,23706.5,24114,23947.5,24935.5,26388,26906.5,27494.5,28040.5,28560.5,29053,29429.5,29768,30183,30709,31437.5,32349.5,33374,34454.5,35567,36697,37854,39025,40201,41444.5,42632,43750,44919,46158.5,47344.5,48367,49262.5,50041,50877,51934,53268,54920,56745.5,58523.5,60431,62547,64406,65938.5,67192,68445,69498,69902.5,69916,69640.5,69617,69975,70180,70707,71649.5,72330.5,72162,70950.5,69897.5
"Age population, age 19, male, interpolated",SP.POP.AG19.MA.IN,Lao PDR,LAO,19021,19399.5,19888.5,20462.5,21094.5,21769.5,22393,22911,22541.5,24192.5,26678.5,27213,27830,28411.5,28985,29550.5,30007.5,30424,30907.5,31491,32266,33220,34279.5,35390,36539,37711.5,38903.5,40111,41332,42620,43850.5,45019,46239.5,47533.5,48770,49842.5,50796,51502,52147.5,52991.5,54071,55471,57123.5,58830,60569,62683.5,65080,67431.5,69444,71060.5,72106.5,72334,72088.5,71609,71327.5,71466,71948,73205,74718.5,75047.5,74219.5,73011.5,72362.5
"Age population, age 20, female, interpolated",SP.POP.AG20.FE.IN,Lao PDR,LAO,18917,19367,19911,20535,21241.5,22020.5,22824,23556.5,23963.5,23799,24782.5,26229,26745,27322.5,27811.5,28211.5,28559,28815,29104.5,29553,30171,31013,32026.5,33113,34224.5,35361.5,36512,37682,38857,40023,41240,42391,43470.5,44604,45803,46944.5,47926,48708,49416,50280,51345,52705.5,54396.5,56245.5,58014.5,59920.5,62018,63835.5,65353.5,66585.5,67731.5,68663,69039.5,69066.5,68868,69101,69670,69902.5,70438.5,71386,72076,71910,70700
"Age population, age 20, male, interpolated",SP.POP.AG20.MA.IN,Lao PDR,LAO,18595,18868.5,19260,19736.5,20282.5,20912,21582,22202,22719.5,22355.5,23996,26465.5,26999.5,27607.5,28165,28656,29081,29421,29790.5,30305.5,30982,31867.5,32916.5,34034.5,35172,36342.5,37533,38734,39941.5,41148.5,42407,43604.5,44739,45924.5,47179,48373,49406,50117,50628,51307.5,52151.5,53238,54663,56341.5,58052.5,59992,62315,64666.5,66912.5,68776,70165,71011,71170.5,70938.5,70588.5,70691.5,71123,71631,72898.5,74414,74757,73941.5,72731
"Age population, age 21, female, interpolated",SP.POP.AG21.FE.IN,Lao PDR,LAO,18442.5,18782,19231.5,19773,20393.5,21097.5,21872.5,22671.5,23402,23808,23645.5,24625,26063.5,26569,27085,27445.5,27690,27908,28112.5,28439,28986.5,29726.5,30677,31757,32877,34014.5,35172.5,36336.5,37511.5,38676,39813.5,40991,42100,43141,44231,45382.5,46479.5,47333,48030.5,48782.5,49675,50753.5,52143.5,53872,55743,57537.5,59440.5,61485.5,63264,64767,65981.5,67022,67830,68177.5,68218.5,68278,68775.5,69374,69616.5,70157.5,71113.5,71806,71641
"Age population, age 21, male, interpolated",SP.POP.AG21.MA.IN,Lao PDR,LAO,18264,18429.5,18719,19097,19541.5,20085,20710,21376.5,21994.5,22509.5,22151.5,23781,26232.5,26758,27343.5,27814.5,28153.5,28452.5,28742,29145.5,29762,30559.5,31547.5,32659,33806.5,34967.5,36156.5,37356.5,38558,39750.5,40926,42148.5,43309,44405.5,45548.5,46756.5,47907,48685.5,49183,49741.5,50455.5,51302,52396,53843.5,55545,57496,59678,61976.5,64247,66389,68103,69267.5,69916.5,70004,69782,69830,70324,70783,71304.5,72574.5,74103.5,74458,73638
"Age population, age 22, female, interpolated",SP.POP.AG22.FE.IN,Lao PDR,LAO,17974,18304.5,18644,19092,19631,20249.5,20950,21720.5,22516.5,23243,23646.5,23488,24462.5,25884,26326,26707.5,26906,27016.5,27181,27424.5,27854.5,28529,29383,30403.5,31517.5,32664.5,33825,34996.5,36165,37328.5,38462.5,39559,40693,41762,42758,43798,44902.5,45867.5,46620,47346,48141.5,49067.5,50163.5,51582.5,53348,55263,57089,58967,60953,62692.5,64184.5,65381.5,66314.5,66999.5,67318,67609,67938.5,68466,69075,69323,69873.5,70832,71524.5
"Age population, age 22, male, interpolated",SP.POP.AG22.MA.IN,Lao PDR,LAO,17899,18089,18273.5,18549.5,18893.5,19336.5,19876,20497,21160.5,21775,22288.5,21938,23556,25980.5,26483.5,26978.5,27290,27496,27742.5,28069.5,28579.5,29322.5,30228.5,31282.5,32425,33596.5,34777,35977,37177,38362,39521.5,40660,41843,42963,44016,45111,46273,47169,47718,48238.5,48846.5,49596.5,50445.5,51546,53013.5,54980,57219,59403.5,61635,63826,65863,67431.5,68376,68823,68834,68991,69447.5,69970.5,70443.5,70969.5,72254,73793,74140.5
"Age population, age 23, female, interpolated",SP.POP.AG23.FE.IN,Lao PDR,LAO,17423,17835.5,18166,18504.5,18950,19487.5,20103,20799,21566.5,22358,23080.5,23484.5,23328,24288,25638.5,25944,26160.5,26223.5,26280,26483.5,26833,27393.5,28184,29109,30164.5,31305.5,32474.5,33648.5,34824.5,35981,37113.5,38206,39258.5,40351.5,41374,42319.5,43312.5,44294.5,45151,45901,46656,47500.5,48464,49576.5,51022.5,52863,54826.5,56646,58494.5,60421.5,62126.5,63608.5,64786.5,65611,66172,66706,67262,67622.5,68160.5,68774.5,69032.5,69586,70544.5
"Age population, age 23, male, interpolated",SP.POP.AG23.MA.IN,Lao PDR,LAO,17401.5,17720.5,17929.5,18101.5,18344.5,18687.5,19127,19663.5,20282,20941,21552.5,22065,21722,23320,25701,26111,26443,26619,26771.5,27056,27493.5,28134,28987,29961,31048,32215,33405.5,34597,35797.5,36981,38132,39252.5,40350.5,41492.5,42568,43572,44620,45541.5,46205.5,46744,47289,47947.5,48735.5,49586,50689,52448,54729.5,56988,59131,61296,63407,65343.5,66769.5,67489,67731,68052,68600.5,69087,69625,70103,70645,71939.5,73468.5
"Age population, age 24, female, interpolated",SP.POP.AG24.FE.IN,Lao PDR,LAO,16850.5,17285,17696.5,18026,18363,18807.5,19342,19954,20648,21411,22197.5,22918,23320.5,23157.5,24049.5,25257.5,25399,25479,25488,25585,25895,26374.5,27050.5,27913,28873,29954.5,31118,32301,33479.5,34643,35768,36859,37907.5,38918.5,39965,40937,41835.5,42739.5,43620,44430,45176.5,45965.5,46863,47862.5,48991,50526,52448,54398.5,56204.5,58024,59896,61567,63036.5,64194.5,64912,65591,66357,66944,67315.5,67858.5,68482,68744,69297.5
"Age population, age 24, male, interpolated",SP.POP.AG24.MA.IN,Lao PDR,LAO,16849.5,17224.5,17560.5,17757,17897.5,18140.5,18482,18919.5,19453.5,20068,20723.5,21333,21844.5,21500,23061.5,25329,25575.5,25771.5,25893.5,26085,26480,27048,27800.5,28723,29729.5,30841,32028,33229,34420.5,35604.5,36754,37865.5,38945.5,40002.5,41099,42125,43082,43929.5,44631,45239,45768,46339.5,47050.5,47874,48722.5,50120,52226.5,54534,56761.5,58864.5,60963,62997.5,64836.5,66116,66607,67015.5,67661.5,68240,68741.5,69284.5,69778.5,70331.5,71616.5
"Age population, age 25, female, interpolated",SP.POP.AG25.FE.IN,Lao PDR,LAO,16351,16714,17147.5,17557.5,17885.5,18222.5,18665,19196,19806,20496,21254.5,22038.5,22755,23147,22925.5,23680,24719.5,24728,24755.5,24804,25005.5,25444,26038.5,26785,27681.5,28668,29771.5,30948,32134.5,33300.5,34433,35516.5,36563.5,37572,38538,39534,40459.5,41301.5,42135.5,42942.5,43704.5,44453.5,45281,46230.5,47265,48499.5,50134,52047,53973.5,55766,57560,59377.5,61012.5,62469,63607.5,64428.5,65244.5,66041,66639,67016,67569,68195.5,68457
"Age population, age 25, male, interpolated",SP.POP.AG25.MA.IN,Lao PDR,LAO,16369,16677,17068,17390,17555.5,17697.5,17940,18280,18716,19247,19858,20511,21118.5,21620,21252,22708,24800.5,24913,25056,25216.5,25518,26042.5,26721,27542.5,28497.5,29528.5,30659.5,31857,33058.5,34233,35383,36494,37565.5,38604.5,39617,40664.5,41644,42436,43101,43721,44273.5,44795,45394.5,46155.5,47011,48168,49921,52067,54345.5,56543.5,58606,60642,62604,64340.5,65469,66039,66631.5,67307,67899.5,68405.5,68964,69469.5,70014.5
AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,1,4,6,9,11,15,18,19,21,23,25,29,32,36,42,47,51,55,..,..
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,18,16,13,15,15,27,27,30,16,18,42,42,49,36,55,100,..
ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36,..,..,..,..,..,32,..,..,..,..,..,54.4,..,..,..,..,39.8,..,..,..,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lao PDR,LAO,45.247,45.16,44.995,44.888,44.752,44.71,44.605,44.579,44.513,44.538,44.621,44.544,44.496,44.509,44.563,44.46,44.271,43.992,43.677,43.458,43.327,43.309,43.399,43.49,43.604,43.565,43.45,43.254,43.006,42.78,42.494,42.138,41.515,40.849,39.612,38.349,37.18,36.08,35.019,34.482,32.991,31.902,30.872,30.24,29.873,29.254,29.141,28.848,28.313,27.768,27.042,26.467,25.811,25.245,24.698,24.445,24.131,23.715,23.238,22.786,22.449,21.973,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.7,19.4,..,..,..,14.6,18.9,..,..,..,37,..,40.1,..,..,..,..,64.4,..,..,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.46774143,0.49394995,0.52695662,1.06680608,0.30749366,0.16087484,0.15148717,0.08441401,0.14001577,0.17523447,0.07238214,0.19914828,0.40121612,0.11953712,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.88213814,..,..,..,..,..,..,..,..,..,38.88765814,..,..,..,..,31.96086472,..,..,..,25.64050373,..,..,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.315594583,..,..,..,..,..,..,..,..,..,8.429016233,..,..,..,..,8.7361891,..,..,..,9.016548683,..,..,..
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.80226647,..,..,..,..,..,..,..,..,..,52.68332424,..,..,..,..,59.30294596,..,..,..,65.34294806,..,..,..
Children (0-14) living with HIV,SH.HIV.0014,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,500,500,500,500,500,500,500,500,500,500,510,520,530,540,540,530,..
Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Children orphaned by HIV/AIDS,SH.HIV.ORPH,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,200,500,500,500,1000,1000,1000,1300,1600,1800,2100,2400,2800,3300,3800,4200,4700,5100,5500,5900,6200,6400,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,..,..,..,..,..,8,..,..,..,..,..,1.9,..,..,..,..,..,..,..,..,..,..
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Completeness of birth registration (%),SP.REG.BRTH.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,..,..,..,..,..,74.8,..,..,..,..,73,..,..,..,..,..
"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.1,..,..,..,..,..
"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.8,..,..,..,..,..
"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.4,..,..,..,..,..,71.3,..,..,..,..,67,..,..,..,..,..
"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.9,..,..,..,..,..,87.8,..,..,..,..,88.9,..,..,..,..,..
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, female (2 prevent ways and reject 3 misconceptions)",SH.HIV.1524.KW.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24,..,..,..,..,19.3,..,..,..,..,..
"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, male (2 prevent ways and reject 3 misconceptions)",SH.HIV.1524.KW.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.6,..,..,..,..,22.2,..,..,..,..,..
"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, female (2 prevent ways and reject 3 misconceptions)",SH.HIV.KNOW.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.7,..,..,..,..,18.6,..,..,..,..,..
"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, male (2 prevent ways and reject 3 misconceptions)",SH.HIV.KNOW.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.9,..,..,..,..,26.5,..,..,..,..,..
"Condom use at last high-risk sex, adult female (% ages 15-49)",SH.CON.AIDS.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Condom use at last high-risk sex, adult male (% ages 15-49)",SH.CON.AIDS.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.5,..,..,..,..,..,83.8,..,..,..,..,79.5,..,..,..,..,..,93.6,..,..,..,..,..
"Contraceptive prevalence, any method (% of all women ages 15-49)",SP.DYN.CONU.AL.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.4,..,..,..,..,42.3,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.6,..,20,..,..,..,..,32.2,..,..,..,..,38.4,..,..,..,..,..,..,49.6,..,..,..,..,56.3,..,..,..,..,..
"Contraceptive prevalence, any method (% of sexually active unmarried women ages 15-49)",SP.DYN.CONU.SA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any modern method (% of all women ages 15-49)",SP.DYN.CONM.AL.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.3,..,..,..,..,38.4,..,..,..,..,..
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.1,..,..,..,..,..,..,28.9,..,..,..,..,35,..,..,..,..,..,..,42.7,..,..,..,..,51,..,..,..,..,..
"Contraceptive prevalence, any modern method (% of sexually active unmarried women ages 15-49)",SP.DYN.CONM.SA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.27513599,4.29031658,3.69751263,4.47920704,3.54057336,3.33673191,2.93200922,3.15345573,2.76727295,3.46300411,2.91155219,1.94457507,2.07637572,2.39984965,2.29845548,2.45366454,2.36087489,2.52606821,2.24630332,2.60029101,2.6947608,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.10407162,14.47130299,12.91643047,17.61871719,16.27066612,17.37983894,19.28023911,24.81284904,26.80659485,35.78236008,34.58347702,27.16216469,32.51623917,43.56784058,45.61304092,52.15144348,54.51382828,61.60005188,57.35622025,67.81835938,68.29194641,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.55377213,86.98500818,83.30683062,107.2246402,92.00765437,93.89639833,92.29205947,107.363215,98.86230016,133.4008546,115.8391109,81.78859337,99.53797764,125.7964385,133.9626049,150.3217655,160.5009272,182.0950001,173.5835551,211.5027693,213.9656566,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Lao PDR,LAO,22.677,22.452,21.753,22.206,21.96,21.65,21.635,21.23,20.962,20.808,20.57,20.272,20.08,19.925,19.255,19.002,19.182,18.89,18.678,18.092,17.307,16.853,16.408,16.05,15.688,15.324,14.943,14.629,14.236,13.874,13.548,13.063,12.701,12.337,12.03,11.543,11.139,10.802,10.599,10.511,10.256,9.956,9.785,9.626,9.598,9.378,9.096,8.785,8.539,8.266,8.008,7.762,7.604,7.584,7.465,7.513,7.135,6.91,6.755,6.505,6.366,6.613,..
